"Sat Mar 10 17:18:04 +0000 2018","1520682484.0","-1.0","0","0","1135","500","12573","5885","16"
"Sat Mar 10 17:18:04 +0000 2018","1520682484.0","0.25","0","0","8936","163","5252","4051","584"
"Sat Mar 10 17:18:06 +0000 2018","1520682486.0","0.37878787878787873","0","0","147","975","140","351","411"
"Sat Mar 10 17:18:06 +0000 2018","1520682486.0","0.35","0","0","9453","10039","3649","2789","1992"
"Sat Mar 10 17:18:07 +0000 2018","1520682487.0","0.0","0","0","34517","17387","15738","87675","0"
"Sat Mar 10 17:18:07 +0000 2018","1520682487.0","0.0","0","0","996","485","114","1955","0"
"Sat Mar 10 17:18:08 +0000 2018","1520682488.0","0.0","0","0","5405","5457","429","399","60"
"Sat Mar 10 17:18:08 +0000 2018","1520682488.0","0.0","0","0","3067","4994","9701","50000","181"
"Sat Mar 10 17:18:08 +0000 2018","1520682488.0","0.4125","0","0","4331","3490","132","17688","0"
"Sat Mar 10 17:18:08 +0000 2018","1520682488.0","0.0","0","0","57621","12065","3406","136329","0"
"Sat Mar 10 17:18:09 +0000 2018","1520682489.0","0.0","0","0","1109","575","511","964","0"
"Sat Mar 10 17:18:09 +0000 2018","1520682489.0","0.0","0","0","679","2272","1245","2579","89"
"Sat Mar 10 17:18:10 +0000 2018","1520682490.0","0.25","0","0","22","132","281","188","584"
"Sat Mar 10 17:18:11 +0000 2018","1520682491.0","0.21666666666666665","0","0","636","843","12147","19978","189"
"Sat Mar 10 17:18:11 +0000 2018","1520682491.0","0.0","0","0","7500","5833","348","1278","0"
"Sat Mar 10 17:18:12 +0000 2018","1520682492.0","0.5","0","0","397","1796","884","729","1629"
"Sat Mar 10 17:18:12 +0000 2018","1520682492.0","0.0","0","0","3786","4083","41","30041","0"
"Sat Mar 10 17:18:13 +0000 2018","1520682493.0","0.13636363636363635","0","0","528","653","4","7886","0"
"Sat Mar 10 17:18:14 +0000 2018","1520682494.0","0.0","0","0","6384","6989","10725","19500","586"
"Sat Mar 10 17:18:15 +0000 2018","1520682495.0","0.0","0","0","32","10","0","659","0"
"Sat Mar 10 17:18:15 +0000 2018","1520682495.0","0.0","0","0","33748","616","4722","13317","55"
"Sat Mar 10 17:18:16 +0000 2018","1520682496.0","0.0","0","0","84","32","6","2207","5"
"Sat Mar 10 17:18:18 +0000 2018","1520682498.0","0.0","0","0","6384","6989","10725","19500","583"
"Sat Mar 10 17:18:18 +0000 2018","1520682498.0","0.3","0","0","679","2272","1245","2579","139"
"Sat Mar 10 17:18:20 +0000 2018","1520682500.0","0.03333333333333333","0","0","497","1788","7294","3203","195"
"Sat Mar 10 17:18:21 +0000 2018","1520682501.0","-0.5","0","0","314","401","4663","1665","0"
"Sat Mar 10 17:18:23 +0000 2018","1520682503.0","0.0","0","0","3308","2736","1365","153642","0"
"Sat Mar 10 17:18:24 +0000 2018","1520682504.0","0.0","0","0","3308","2736","1365","153642","0"
"Sat Mar 10 17:18:25 +0000 2018","1520682505.0","0.0","0","0","3308","2736","1365","153642","0"
"Sat Mar 10 17:18:25 +0000 2018","1520682505.0","0.06666666666666667","0","0","6384","6989","10725","19500","565"
"Sat Mar 10 17:18:26 +0000 2018","1520682506.0","0.0","0","0","100633","102381","57","57894","16"
"Sat Mar 10 17:18:26 +0000 2018","1520682506.0","0.25","0","0","5097","792","1647","3955","0"
"Sat Mar 10 17:18:26 +0000 2018","1520682506.0","0.0","0","0","84","32","6","2207","1"
"Sat Mar 10 17:18:27 +0000 2018","1520682507.0","-0.08333333333333333","0","0","4779","394","282","455","247"
"Sat Mar 10 17:18:28 +0000 2018","1520682508.0","0.5","0","0","19","44","109","130","54"
