Date,Close Price
2018-03-03 00:00:00,11019.52
2018-03-03 00:01:00,11037.92
2018-03-03 00:02:00,11053.2
2018-03-03 00:03:00,11056.84
2018-03-03 00:04:00,11060.6
2018-03-03 00:05:00,11052.16
2018-03-03 00:06:00,11058.15
2018-03-03 00:07:00,11060.9
2018-03-03 00:08:00,11064.3
2018-03-03 00:09:00,11062.96
2018-03-03 00:10:00,11061.18
2018-03-03 00:11:00,11063.72
2018-03-03 00:12:00,11065.09
2018-03-03 00:13:00,11065.38
2018-03-03 00:14:00,11051.66
2018-03-03 00:15:00,11034.72
2018-03-03 00:16:00,11050.5
2018-03-03 00:17:00,11043.65
2018-03-03 00:18:00,11031.02
2018-03-03 00:19:00,11037.12
2018-03-03 00:20:00,11037.13
2018-03-03 00:21:00,11045.8
2018-03-03 00:22:00,11049.51
2018-03-03 00:23:00,11058.65
2018-03-03 00:24:00,11059.39
2018-03-03 00:25:00,11054.37
2018-03-03 00:26:00,11054.62
2018-03-03 00:27:00,11055.61
2018-03-03 00:28:00,11056.29
2018-03-03 00:29:00,11058.24
2018-03-03 00:30:00,11063.9
2018-03-03 00:31:00,11064.99
2018-03-03 00:32:00,11061.03
2018-03-03 00:33:00,11055.56
2018-03-03 00:34:00,11059.61
2018-03-03 00:35:00,11058.5
2018-03-03 00:36:00,11063.64
2018-03-03 00:37:00,11059.22
2018-03-03 00:38:00,11058.8
2018-03-03 00:39:00,11059.64
2018-03-03 00:40:00,11059.74
2018-03-03 00:41:00,11059.35
2018-03-03 00:42:00,11060.67
2018-03-03 00:43:00,11060.72
2018-03-03 00:44:00,11060.85
2018-03-03 00:45:00,11061.95
2018-03-03 00:46:00,11068.08
2018-03-03 00:47:00,11071.65
2018-03-03 00:48:00,11071.97
2018-03-03 00:49:00,11079.13
2018-03-03 00:50:00,11090.72
2018-03-03 00:51:00,11091.07
2018-03-03 00:52:00,11092.32
2018-03-03 00:53:00,11093.63
2018-03-03 00:54:00,11092.48
